year,month,day,pna_index_cdas
1950,1,1,-1.3320000171661377
1950,1,2,-1.4049999713897705
1950,1,3,-1.559000015258789
1950,1,4,-1.6050000190734863
1950,1,5,-1.6740000247955322
1950,1,6,-1.7289999723434448
1950,1,7,-1.4079999923706055
1950,1,8,-1.0800000429153442
1950,1,9,-1.215000033378601
1950,1,10,-1.1720000505447388
1950,1,11,-1.0429999828338623
1950,1,12,-0.9179999828338623
1950,1,13,-1.0210000276565552
1950,1,14,-1.055999994277954
1950,1,15,-1.100000023841858
1950,1,16,-1.2089999914169312
1950,1,17,-0.9520000219345093
1950,1,18,-0.8289999961853027
1950,1,19,-0.7710000276565552
1950,1,20,-0.8220000267028809
1950,1,21,-0.8730000257492065
1950,1,22,-1.1890000104904175
1950,1,23,-1.5379999876022339
1950,1,24,-1.8420000076293945
1950,1,25,-1.9450000524520874
1950,1,26,-1.6360000371932983
1950,1,27,-1.437000036239624
1950,1,28,-1.5820000171661377
1950,1,29,-1.8320000171661377
1950,1,30,-1.8899999856948853
1950,1,31,-1.684999942779541
1950,2,1,-1.4550000429153442
1950,2,2,-1.3509999513626099
1950,2,3,-1.4079999923706055
1950,2,4,-1.3339999914169312
1950,2,5,-1.031999945640564
1950,2,6,-0.8740000128746033
1950,2,7,-0.7250000238418579
1950,2,8,-0.6449999809265137
1950,2,9,-0.6869999766349792
1950,2,10,-0.8450000286102295
1950,2,11,-0.8080000281333923
1950,2,12,-0.7210000157356262
1950,2,13,-0.6169999837875366
1950,2,14,-0.5950000286102295
1950,2,15,-0.4659999907016754
1950,2,16,-0.27399998903274536
1950,2,17,-0.10000000149011612
1950,2,18,0.039000000804662704
1950,2,19,0.10100000351667404
1950,2,20,0.18199999630451202
1950,2,21,0.4830000102519989
1950,2,22,0.7450000047683716
1950,2,23,0.6200000047683716
1950,2,24,0.3930000066757202
1950,2,25,0.3779999911785126
1950,2,26,0.5009999871253967
1950,2,27,0.47099998593330383
1950,2,28,0.3490000069141388
1950,3,1,0.4790000021457672
1950,3,2,0.7179999947547913
1950,3,3,0.8429999947547913
1950,3,4,0.6899999976158142
1950,3,5,0.3269999921321869
1950,3,6,0.2619999945163727
1950,3,7,0.15000000596046448
1950,3,8,-0.050999999046325684
1950,3,9,-0.2800000011920929
